"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Fix Versions","Affect Versions","Area","Milestone","Date Opened","Project","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases","Status"
"Bug","34700","SF:140466, Duplicate DSR Window Sticker Emails Daily","0","Medium","App Support","","Undecided","","Window Stickers","","11/10/15 05:33 PM","007:MAX","Bill Rogalla","140466","","0","Graham Smith","0","0","12/03/15 05:18 PM","12/03/15 05:44 PM","","Closed (Fixed)"
"Bug","34707","SF:140477, Dealer CPO Selection Not saving in Estock card","0","Medium","App Support","","25.1.1","","AutoLoad","","11/11/15 04:21 PM","007:MAX","Bill Rogalla","140477","","0","Monisha Lakshamana","0","0","11/30/15 09:44 AM","12/23/15 08:54 PM","","Closed (Verified)"
"Internal Defect","34710","Profit Max: Blank Page and STA","0","Medium","Tim Muir","","25.1","","Pricing","","11/11/15 07:22 PM","007:MAX","Tim Muir","","","0","Tim Muir","0","0","11/12/15 05:32 PM","11/19/15 07:14 PM","","Closed (Verified)"
"Bug","34714","SF:140680, HENDRICK- RH CDJ Savannah Hwy | MAX Ad Issue Report","0","Medium","App Support","","Undecided","","Max Ad","","11/11/15 09:12 PM","007:MAX","Bill Rogalla","140680","","0","J. Travis Huber","0","0","11/12/15 08:52 PM","11/12/15 09:01 PM","","Closed (Fixed)"
"Task","34716","Profit MAX: Ability to click anywhere in a book out any time, not just before a vehicle is booked out ","0","Medium","Tim Muir","","25.1.1","","Pricing","","11/11/15 09:58 PM","007:MAX","Kara Korte","","","0","Tim Muir","0","0","12/02/15 06:17 PM","12/03/15 05:39 PM","","Closed (Verified)"
"Task","34717","Update AutoLoadInventoryTask to check for CoPilot data","0","Medium","J. Travis Huber","","25.1","","AutoLoad","","11/11/15 10:06 PM","007:MAX","J. Travis Huber","","","0","J. Travis Huber","0","0","11/12/15 02:59 PM","11/12/15 02:59 PM","","Closed (Won't Complete)"
"Bug","34722","Wilde Honda $1 issue","0","Critical","Bill Rogalla","","25.1","","Pricing","","11/12/15 07:33 PM","007:MAX","Kara Korte","140825","","0","Christopher Norton","0","0","11/19/15 06:03 PM","11/19/15 08:01 PM","","Closed (Verified)"
"Internal Defect","34723","Profit Max: Empty Market Listings and STA","0","Medium","Tim Muir","","25.1.1","","Pricing","","11/12/15 09:14 PM","007:MAX","Tim Muir","","","0","Tim Muir","0","0","11/30/15 08:38 PM","12/03/15 05:41 PM","","Closed (Not Reproducible)"
"Internal Defect","34724","STA for Windy City BMW: Data is Null. This method or property cannot be called on Null values.","0","Medium","Inna Tulika","","Undecided","","Max Ad","","11/12/15 10:08 PM","007:MAX","Inna Tulika","","","0","Inna Tulika","0","0","11/18/15 08:39 PM","11/19/15 03:55 PM","","Closed (Verified)"
"Task","34727","Profit MAX: Add Light as is available in PING","0","Medium","Advait Gupte","","25.2","","Pricing","","11/13/15 03:55 AM","007:MAX","Kara Korte","","","0","Advait Gupte","0","0","12/21/15 01:23 PM","12/24/15 12:24 PM","","Closed (Verified)"
"Bug","34728","SF:140763, Vehicles Showing Offline in MAX Dashboard","0","Medium","Daniel Hillis","","25.1.1","","Dashboard","","11/13/15 04:49 PM","007:MAX","Bill Rogalla","140763","","0","Daniel Hillis","0","0","11/21/15 02:51 PM","11/23/15 05:18 PM","","Closed (Fixed)"
"Task","34729","Pricing Bar not rendering correctly","0","Medium","Michelle Clay","","25.1","","Pricing","","11/13/15 05:32 PM","007:MAX","Michelle Clay","","","0","Michelle Clay","0","0","11/16/15 09:42 PM","11/19/15 07:02 PM","","Closed (Verified)"
"Bug","34730","SF:140976, Profit Max- Manually Created unit-Blank Pricing Page","0","Medium","App Support","","25.1.1","","Pricing","","11/13/15 07:02 PM","007:MAX","Bill Rogalla","140976","","0","Christopher Norton","0","0","11/25/15 04:58 PM","12/21/15 10:36 PM","","Closed (Not Reproducible)"
"Internal Defect","34731","MB Autoload: General Error -- Object reference not set to an instance of an object","0","Medium","Christopher Norton","","25.1","","AutoLoad","","11/13/15 08:12 PM","007:MAX","Christopher Norton","","","0","Christopher Norton","0","0","11/18/15 04:41 PM","11/19/15 07:41 PM","","Closed (Verified)"
"Internal Defect","34734","Price vs. Market: Custom DCS Result Not Propagating to JSON","0","Medium","Tim Muir","","25.1","","Pricing","","11/13/15 08:33 PM","007:MAX","Tim Muir","","","0","Tim Muir","0","0","11/19/15 05:19 PM","11/19/15 07:16 PM","","Closed (Verified)"
"Bug","34739","SF:140663, LITHIA-Photos Not Showing in Max","0","Medium","App Support","","Undecided","","Mobile Web Loader","","11/13/15 09:57 PM","007:MAX","Bill Rogalla","140663","","0","Michelle Clay","0","0","12/23/15 11:00 PM","01/27/16 04:45 PM","","Closed (Not Reproducible)"
