"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Fix Versions","Affect Versions","Area","Milestone","Date Opened","Project","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases","Status"
"Internal Defect","35738","Pricing Campaigns: viewing old pricing campaigns, selections are missing","0","Medium","Inna Tulika","","First Look - MAX Digital","New Car Tool","New Car","","02/15/16 09:01 PM","002:FLM","Christopher Norton","","","0","Inna Tulika","0","0","03/03/16 09:27 PM","05/23/16 02:50 PM","","Closed (Verified)"
"Internal Defect","35739","Pricing Campaign: Warning Message Breaks Future Campaign Creation","0","Medium","Tim Muir","","First Look - MAX Digital","New Car Tool","New Car","","02/15/16 09:53 PM","002:FLM","Tim Muir","","","0","Tim Muir","0","0","03/03/16 09:37 PM","05/23/16 01:33 PM","","Closed (Verified)"
"Internal Defect","35740","Pricing Campaigns: Campaign name should follow the old logic and use spaces","0","Medium","Inna Tulika","","First Look - MAX Digital","New Car Tool","New Car","","02/15/16 09:57 PM","002:FLM","Christopher Norton","","","0","Inna Tulika","0","0","03/03/16 06:00 PM","05/23/16 02:55 PM","","Closed (Verified)"
"Internal Defect","35745","Unable to create campaign. ","0","Medium","Inderjeet Singh","","First Look - MAX Digital","New Car Tool","New Car","","02/16/16 01:03 PM","002:FLM","Ravinder Raturi","","","0","Inderjeet Singh","0","0","05/20/16 08:05 AM","05/20/16 08:05 AM","","Closed (Verified)"
"Bug","35750","SF:153057, Profit Max Appraisal - Inaccurate Search Results - Engine Type","0","Medium","App Support","","First Look - MAX Digital","Undecided","Profit MAX","","02/16/16 05:31 PM","002:FLM","Help Desk Support","153057","","0","Bill Rogalla","0","0","09/07/16 06:01 PM","09/07/16 07:28 PM","","Closed (Not Reproducible)"
"Internal Defect","35751","x Positioning/functionality on the Pricing Campaign Page","0","Medium","Inna Tulika","","First Look - MAX Digital","New Car Tool","New Car","","02/16/16 05:31 PM","002:FLM","Michelle Clay","","","0","Inna Tulika","0","0","02/24/16 07:26 PM","05/23/16 02:56 PM","","Closed (Verified)"
"Task","35752","SPacing between Titles and Sections","0","Medium","Abhishek Kumar","","First Look - MAX Digital","New Car Tool","New Car","","02/16/16 05:46 PM","002:FLM","Michelle Clay","","","0","Abhishek Kumar","0","0","05/23/16 02:49 PM","05/23/16 02:49 PM","","Closed (Verified)"
"Task","35753","Make the View Pricing Campaign link text a little smaller","0","Medium","Shailesh Panchal","","First Look - MAX Digital","New Car Tool","New Car","","02/16/16 05:48 PM","002:FLM","Michelle Clay","","","0","Shailesh Panchal","0","0","02/19/16 10:28 AM","05/20/16 11:18 AM","","Closed (Verified)"
"Task","35754","Formatting on Is this a Manufaturer Rebate Checkbox","0","Medium","Shailesh Panchal","","First Look - MAX Digital","New Car Tool","New Car","","02/16/16 05:50 PM","002:FLM","Michelle Clay","","","0","Shailesh Panchal","0","0","02/19/16 10:43 AM","05/23/16 02:49 PM","","Closed (Verified)"
"Task","35755","Text within entry Boxes","0","Medium","Shailesh Panchal","","First Look - MAX Digital","New Car Tool","New Car","","02/16/16 05:53 PM","002:FLM","Michelle Clay","","","0","Shailesh Panchal","0","0","02/19/16 10:23 AM","05/23/16 09:54 AM","","Closed (Verified)"
