"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Fix Versions","Affect Versions","Area","Milestone","Date Opened","Project","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases","Status"
"Bug","10537","SF:33501, P1, Incompatible Year/Make/Model Combinations Available in Manual Bookout (KBB)","","Medium","App Support","","Salesforce Cases","Undecided","001:Appraisal Center","","05/12/10 04:26 PM","000:Salesforce Cases","Satwinder Kahlon","","","0","Kurt Moeller","3","3","06/10/10 04:00 PM","06/11/10 04:09 PM","","Closed (By Design)"
"Bug","10571","SF:33398, P1, Communicator Locking Out Users of Hendrick Car Search","","Medium","Chris Fant","","Salesforce Cases","V5_18_07","009:External Integrations","","05/13/10 09:26 PM","000:Salesforce Cases","Satwinder Kahlon","","","0","Paul Monson","0","0","06/03/10 09:30 PM","06/28/10 09:15 PM","","Closed (Fixed)"
"Bug","10572","SF:33737, P2, Reprice Logs missing RCI Writeback XML Transactions (ord4util01)","","Planning","App Support","","Salesforce Cases","Undecided","010:General System","","05/13/10 09:28 PM","000:Salesforce Cases","Devang Maniar","","","0","Devang Maniar","0","0","06/11/10 04:36 PM","06/11/10 04:37 PM","","Closed (Fixed)"
"Bug","10576","SF:33722, P2, CIA Managers Choice missing vehicles to choose from","","Planning","Chris Fant","","Salesforce Cases","Undecided","002:Inventory Mgmt Tools","","05/13/10 09:37 PM","000:Salesforce Cases","Devang Maniar","","","0","Chris Fant","0","0","05/14/10 04:36 PM","05/17/10 04:24 PM","","Closed (By Design)"
"Bug","10616","SF:33665, P2, Attributes reverting to Unknown when editing vehicle options in Ping II","","Planning","Chris Fant","","Salesforce Cases","Undecided","004:Pricing Tools","","05/17/10 03:12 PM","000:Salesforce Cases","Satwinder Kahlon","","","0","Chris Fant","0","0","07/14/10 08:31 PM","07/14/10 08:31 PM","11126,11310,","Closed (Duplicate)"
"Bug","10624","SF:33720, P1, Modify AutoUplink EDT Flat File Feed - Include Inventory.LotPrice under MSRP","","Medium","Sami Uctum","dbo-team","Salesforce Cases","Undecided","001:Appraisal Center","","05/17/10 05:22 PM","000:Salesforce Cases","Satwinder Kahlon","","","0","Devang Maniar","0","0","05/21/10 04:41 PM","06/10/10 10:30 PM","","Closed (Verified)"
"Bug","10631","Deploy: FLadmin: Remove Invalid Tags in DMS Writeback section (8722)","","Planning","App Support","","Salesforce Cases","V5_18_06_BugFix3","006:Admin","","05/17/10 08:43 PM","000:Salesforce Cases","Satwinder Kahlon","","","0","Satwinder Kahlon","0","0","05/20/10 04:31 PM","05/20/10 04:31 PM","","Closed (Won't Fix)"
"Bug","10638","SF:33781, P2, Attributes reverting to Unknown when editing vehicle options in Ping II","","Planning","Chris Fant","","Salesforce Cases","Undecided","004:Pricing Tools","","05/18/10 03:55 PM","000:Salesforce Cases","Satwinder Kahlon","","","0","Chris Fant","0","0","11/23/10 11:27 PM","11/23/10 11:27 PM","","Closed (Duplicate)"
"Bug","10742","SF:34103, P0, BlackBook Average Mileage Adjustement Off","","Critical","Chris Fant","","Salesforce Cases","V5_18_06_KBB","001:Appraisal Center","","05/25/10 09:36 PM","000:Salesforce Cases","Satwinder Kahlon","","","0","Devang Maniar","4","4","05/27/10 05:31 PM","05/28/10 02:58 PM","","Closed (Verified)"
"Bug","10752","SF:34120, P2, Ping II Server Error - 2005 Mazda M6 Sedan (Vehicle Specific)","","Ground Level","Chris Fant","","Salesforce Cases","V5_18_07","001:Appraisal Center","","05/26/10 05:46 PM","000:Salesforce Cases","Satwinder Kahlon","","","0","Chris Fant","0","0","06/10/10 07:14 PM","06/28/10 09:07 PM","","Closed (Verified)"
